Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
2725,EB 111 Ave between 116 - 113 St,60,(b),53.55882471,-113.51855732,"(53.558824708121165, -113.51855732079618)"
7176,SB 189 St between 95 - 91 Ave,50,(h),53.52806650,-113.64860256,"(53.52806650024237, -113.64860255678236)"
2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,50,"(b), (c)",53.57030734,-113.45724250,"(53.570307335302715, -113.45724250164393)"
2615,NB 113A St between 134 - 136 Ave,50,(h),53.59665638,-113.51656063,"(53.59665638169049, -113.51656063070774)"
2558,SB 156 St between 94 - 92 Ave,50,"(b), (c)",53.52837963,-113.59032512,"(53.52837963329957, -113.5903251192683)"
2473,EB 132 Ave between Delwood Rd - 79 St,50,"(a), (h)",53.59223322,-113.46280031,"(53.59223321810083, -113.46280030604021)"
2721,NB 101 St between 107A - 108 Ave,50,(h),53.55228268,-113.49371677,"(53.552282684355454, -113.49371676559429)"
7085,NB Gateway Blvd - South of Anthony Henday Dr.,90,"(a), (b), (c)",53.43486002,-113.49002456,"(53.43486002152614, -113.49002455995429)"
2449,EB Sask. Drive between 107 - 105 St,50,(h),53.52312546,-113.50337801,"(53.523125459060815, -113.50337800771118)"
2718,NB 97 St between 115 -117 Ave,50,(b),53.56730220,-113.49178446,"(53.56730220298543, -113.4917844583529)"
7063,NB Groat Rd btwn Victoria Pk Rd-S of 107 Ave,50,"(c), (h)",53.54528298,-113.54246556,"(53.54528298234105, -113.54246556250447)"
2291,NB 100 St btwn 161 - 165 Ave,50,(h),53.62500227,-113.49669489,"(53.625002273374996, -113.49669488555467)"
2637,NB 114 St between 51 - 53 Ave,30,"(f), (h)",53.48901428,-113.52401090,"(53.48901427809853, -113.52401089873581)"
2628,WB 145 Ave between 114A - 117 St,50,(h),53.60724643,-113.52112318,"(53.607246425691265, -113.52112317618949)"
2551,EB 180 Ave between 87 - 83 St,50,(h),53.64204931,-113.47075340,"(53.64204930907744, -113.47075340032474)"
2807,WB Whitemud Dr between 50 - 75 St,60,(g),53.48630789,-113.43041991,"(53.486307893627696, -113.4304199102446)"
2202,NB Ottewell Rd between 95 - 96A Ave,40,(h),53.53433695,-113.43694998,"(53.53433694538265, -113.43694998364509)"
2464,EB 87 Ave between 147 - 145 St,60,(c),53.51935496,-113.57257678,"(53.51935496461201, -113.57257677991879)"
2704,EB 101 Ave between 70 - 67 St,50,"(a), (h)",53.54119252,-113.43382707,"(53.541192515393895, -113.43382706521898)"
7177,WB 106 Ave between Rowland Rd - 76 St,50,(h),53.54938881,-113.44241280,"(53.54938881273492, -113.4424127998047)"
7031,EB 38 Avenue between 44 - 41 Street,50,(h),53.47195845,-113.40225282,"(53.471958446735435, -113.40225282435168)"
7021,SB Anth. Henday Dr. -South of North Sask. River,100,(a),53.45663746,-113.61099305,"(53.45663745650378, -113.61099305225555)"
2538,NB 163 St between 89 - 93 Ave,50,"(b), (h)",53.52604812,-113.60277075,"(53.52604811879211, -113.60277075053138)"
2749,WB 95 Ave between 158 - 160 St,50,(c),53.53155624,-113.59557878,"(53.531556239081084, -113.59557877639594)"
7030,WB 38 Avenue between 41 - 44 Street,50,(h),53.47195845,-113.40225282,"(53.471958446735435, -113.40225282435168)"
2781,NB 149 St. Between 80 - 84 Ave,60,(h),53.51582617,-113.57789933,"(53.51582616874022, -113.57789932650225)"
2610,NB 75 St between 92A - 94B Ave,60,(b),53.53004509,-113.44289010,"(53.53004508591621, -113.44289009860144)"
