Location Description,Speed Limit,Reason Code(s),Geo Location (address),Geo Location (city),Geo Location (state),Geo Location (zip)
EB 144 Ave Btwn 62 - 57 Street,30,(f),,,,
SB 81 St between 89 - 86 Ave,30,(f),,,,
EB Whitemud Dr between 76 - 66 St,60,(g),,,,
SB 180 St S of 73 Ave - Willow Ct,30,(f),,,,
156 St NB between 92 - 94 Ave,50,"(a), (h)",,,,
38 St SB between 41 - 39 Ave,30,(f),,,,
107 St NB between 130 - 132 Ave,30,(f),,,,
82 St SB between 104 - 102 Ave,30,(f),,,,
WB 57 Ave btwn W Entrance of Lessard Dr - 175 St,30,(f),,,,
132 Ave WB between 83 - 85 St,50,"(a), (h)",,,,
44 Avenue EB between 49 St – Jackson Rd,50,(h),,,,
WB 132 Ave E of 69 - 72 St,30,(f),,,,
105 St NB between 97 - 98 Ave,50,(h),,,,
129 Ave WB between 129 - 131 St,30,(f),,,,
EB 101 Ave between 70 - 67 St,50,"(a), (h)",,,,
90 Ave EB between 73 - 71 St,60,(h),,,,
WB 127 Ave between 88 - 90 St,60,(h),,,,
170 St NB between 114 - 117 Ave,60,(c),,,,
Gateway Blvd NB - South of Anthony Henday Dr.,90,"(a), (b), (c)",,,,
SB 106 St Btwn 60A - 56 Ave,30,(f),,,,
NB 143 St btwn 53 - 56 Ave,30,(f),,,,
EB 80 Ave btwn 166 - 163 St,30,(f),,,,
Silverberry Rd SB btwn 32 - 29A Ave,50,(h),,,,
SB 58 St btwn 94 - 92B Ave,30,(f),,,,
EB 76 Ave btwn 106 - 105 St,30,(f),,,,
SB 172 St Btwn 64 Ave - N or Callingwood Rd,30,(f),,,,
SB 87 St btwn 79 - 77 Ave,30,(f),,,,
EB 76 Ave Btwn 156 - 154 St,30,(f),,,,
40 Ave EB between 119 - 117 St,30,(f),,,,
112 St SB between 68 - 65 Ave,30,(f),,,,
91 St SW SB between Ellwood Dr - Ellwood Rd,60,(h),,,,
NB Gateway Blvd at Ellerslie Road SW,90,"(a), (b), (c)",,,,
NB Millwooods Rd E between 17 - 18 Ave,30,(f),,,,
144 Ave EB between 77 -74 St,30,(f),,,,
54 St SB between 122 - 121 Ave,30,(f),,,,
EB Delwood Rd btwn 134B Ave - 73 St,30,(f),,,,
EB 97 A Ave Btwn 189 - 185 St,30,(f),,,,
57 Ave EB between 175 - 174 St,30,(f),,,,
50 St NB between 84 - 90 Ave,60,(h),,,,
Anthony Henday Dr EB at LeClair Way,100,(a),,,,
WB 53 Ave btwn Whitemud Dr - Riverbend Rd,30,(f),,,,
170 St NB between 109 - 110 Ave,60,"(b), (c), (h)",,,,
87 Ave EB between 154 - 152 St,60,(c),,,,
WB 84 Ave between 184 - 187 St,50,(h),,,,
137 Ave WB between 58 - 63 St,60,(b),,,,
Ottewell Rd between 92A - 93A Ave,40,(h),,,,
WB Kingsway Ave btwn Princess Eliz Ave-Airport Rd,60,(b),,,,
SB 104 St between 78 - 76 Ave,50,(c),,,,
WB 101 Ave between 63 - 70 St,50,"(a), (h)",,,,
SB 167 St S of 83 - 80 Ave,30,(f),,,,
38 Ave EB between 60A - 57 St,50,"(f), (h)",,,,
SB Scona Rd between 95A - 94 Ave,50,(h),,,,
118 Ave EB between 78 St - Wayne Gretzky Dr,50,"(b), (c)",,,,
EB Princess Elizabeth Ave between 106 - 102 St,50,(c),,,,
63 Ave EB between 127 - 126 St,30,(f),,,,
EB 129B Ave btwn 93 - 91 St,30,(f),,,,
WB Millwoods Rd S E of 74 - 80 St,30,(f),,,,
EB Dunluce Rd between Warwick Rd - 120 St,50,(h),,,,
129 Ave EB between 131 - 129 St,30,(f),,,,
EB Edwards Dr Sw between Easton Rd -  85 St SW,50,(h),,,,
42 Ave WB between 106 - 107 St,30,(f),,,,
WB 144 Ave between 57 - 62 St,30,(f),,,,
91 St SB between 63 - 58 Ave,60,(c),,,,
134 Ave EB between 134 - 13​2​A St,30,(f),,,,
NB 115 St btwn 46 - 48 Ave,30,(f),,,,
WB 129B Ave btwn 91 - 93 St,30,(f),,,,
NB 182 St N of 89 - 93 Ave,30,(f),,,,
EB Mill Woods Rd S between 80 - 74 St,30,(f),,,,
189 St NB between 59 Ave - Callingwood Rd,50,(h),,,,
91 St SB between 174 - 172 Ave,30,(f),,,,
Watt Blvd NB between 13 - 11 Ave SW,50,(h),,,,
WB Whitemud Dr at 50 St,80,"(a), (b), (c)",,,,
WB Lakewood Rd N between 82 - 85 St,30,(f),,,,
EB 144 Ave E of 92 St - 88A St,30,(f),,,,
EB 105 Ave btwn 139 - 136 St,30,(f),,,,
Anthony Henday Dr WB at Rabbit Hill Rd,100,"(a), (b), (c)",,,,
NB 96 St btwn 66 Ave - N of 68 Ave,30,(f),,,,
NB Riverbend Rd btwn 53 - 56 Ave,30,(f),,,,
113A St SB between 56 - 55 Ave,50,(h),,,,
44 St NB between Kulawy Dr N - Jackson Rd,50,(h),,,,
158 St NB between 79A - 83 Ave,30,(f),,,,
Yellowhead Trail at 7710 Yellowhead Tr.,70,(c),,,,
106 St NB between 56 - 60A Ave,30,(f),,,,
Anthony Henday Dr At St Albert Tr EB,100,(a),,,,
176 Ave EB between 104 - 99 St,50,(h),,,,
WB 40 Ave Btwn 115 A - 119 St,30,(f),,,,
NB 80 St N of Knottwood Rd S - Millwoods Rd S,30,(f),,,,
Fort Rd NB between Mount Lawn Rd - 122 Ave,50,(h),,,,
91 St SB between 23 Ave - Anthony Henday Dr,70,"(b), (c)",,,,
76 Ave WB between 173 - 176 St,30,(f),,,,
176 Ave WB between 97 - 100 St,50,(h),,,,
66 St NB between 144 - 149 Ave,60,(h),,,,
184 St NB between Lessard Rd - 52 Ave,50,(h),,,,
51 Ave EB between 122 - 116 St,50,(h),,,,
145 Ave WB east of 127 St,30,(f),,,,
132A Ave EB between 34 - 31 St,30,(f),,,,
SB 149 St between 84 Ave - Whitemud Dr,60,"(c), (h)",,,,
128 St SB between 123 - 122 Ave,30,(f),,,,
SB Lakewood Rd E btwn 71 St - 29 Ave,30,(f),,,,
162 Ave WB between 115 St - 161 Ave,30,(f),,,,
McLeod Rd WB between 57 - 59 St,30,(f),,,,
NB 95 St between 112 - 114 Ave,50,(h),,,,
SB Anthony Henday Dr btwn Manning Dr - 130 Ave,100,(a),,,,
WB Stony Plain Rd between 132 - 133 St,50,(h),,,,
Yellowhead Tr WB at 9320 Yellowhead Tr,70,"(b), (c)",,,,
Saddleback Rd EB between 27 Ave - 112 St,50,"(f), (h)",,,,
WB Delwood Rd btwn 73 St - 134B Ave,30,(f),,,,
78 Ave WB between 106 - 107 St,30,(f),,,,
54 Ave EB between 114 - 113A St,30,(f),,,,
SB 99 St between 91 - 89 Ave,50,(h),,,,
SB Windermere Rd btn Whitelaw Lane-Windermere Bvd,30,(f),,,,
124 Ave WB between 125 - 127 St,30,(f),,,,
Millwoods Rd S EB between 62 - 54 St,30,(f),,,,
134 Ave EB between 62 - 60,30,(f),,,,
NB Bulyea Rd Btwn Burley Dr - Burton Rd,30,(f),,,,
EB 114 Ave btwn 38 - 36 St,30,(f),,,,
82 Ave WB between 96 - 97 St,50,(c),,,,
SB 182 St between 93 - 89 Ave,30,(f),,,,
38 St SB between 20 - 19 Ave,30,(f),,,,
50 St NB between 102 - 104A Ave,50,"(c), (h)",,,,
57 Ave WB between 181 - 184 St,30,(f),,,,
EB 62 Ave between Getty Gate - 205 St,60,(h),,,,
SB 145 St btwn 89A - 88 Ave,30,(f),,,,
NB Saddleback Rd Btwn 25 - 27 Ave,30,(f),,,,
EB McConachie Dr Btwn McConachie Way - 58 St,30,(f),,,,
Towne Ctr Blvd SB btwn Tomlinson Way-Tompkins Wynd,50,(h),,,,
184 St SB between 66 - 62B Ave,30,(f),,,,
SB 95 St between 114 - 112 Ave,50,(h),,,,
Wayne Gretzky Dr NB - Capilano Bridge - Ada Blvd,80,(a),,,,
WB Castledowns Rd between 97 - 109 St,60,(h),,,,
EB Anthony Henday Dr between 66 St - Manning Dr,100,"(a), (b), (c)",,,,
SB 105 St between 20 - 19 Ave,50,(h),,,,
SB Bulyea Rd between Burton Rd - Buchanan Rd,30,(f),,,,
WB 162 Ave Btwn 54 A - 55 A St,30,(f),,,,
Whitemud Dr. at 91 St,80,(a),,,,
107 St NB between 47 - 51 Ave,30,(f),,,,
Anthony Henday Dr SB at Lessard Rd,100,(a),,,,
Whitemud Dr. at Rainbow Valley Bridge,80,(a),,,,
NB 182 St between 89 - 93 Ave,50,(h),,,,
NB 184 St - N of Dechene Rd - 57 Ave,30,(f),,,,
122 St NB between 51 - 62 Ave,60,(c),,,,
149A Ave EB between 77 - 76 St,30,(f),,,,
137 Ave EB between 136A - 136 St,60,(b),,,,
EB 95 Ave between 163 - 160 St,50,(c),,,,
127 Ave WB between 123 - 126 St,50,(c),,,,
WB Anthony Henday Dr between 18 - 66 St,100,"(a), (b), (c)",,,,
WB 161A Ave between 74 - 76 St,30,(f),,,,
EB 140 Ave Btwn 93 - 88 A St,30,(f),,,,
106 St SB between 107 St - 56 Ave,50,(h),,,,
107 St SB between 132 - 130 Ave,30,(f),,,,
SB 84 St between 105 - 102 Ave,50,"(a), (h)",,,,
WB 38 Ave W of 55 St - Grand Meadow Cres,30,(f),,,,
WB 179 Ave between 92 - 93 St,50,"(c), (h)",,,,
SB 165 St between 97 - 95 Ave,30,(f),,,,
114 St NB between 51 - 53 Ave,30,"(f), (h)",,,,
SB Fort Rd between 131 - 128 Ave,50,"(c), (h)",,,,
WB Stony Plain Rd between 178 - 182 St,60,(c),,,,
82 Ave WB between 87 - 89 St,50,(c),,,,
EB Mill Woods Rd S between 80 - 74 St,50,(h),,,,
NB 103 St W of 161 - S of 164 Ave,30,(f),,,,
156 St NB between 80 - 84 Ave,50,(h),,,,
NB Millwoods Rd between 23 - 28 Ave,50,(h),,,,
Silverberry Rd. btwn 24 - 29 St.,50,(h),,,,
Stanton Dr WB between 70 - 74 St,50,(h),,,,
135 St SB between 103 - 102 Ave,30,(f),,,,
WB Summerside Dr SW btn Shepard Ct-Summerside Gate,50,(h),,,,
101 St NB between 115 - 117 Ave,50,(b),,,,
107 St SB between 130 - 129 Ave,30,(f),,,,
EB 104 Ave btwn 161 - 159 St,30,(f),,,,
Anthony Henday Dr At Terwillegar Dr WB,100,(a),,,,
44 St NB between Kulawy Dr N - Jackson Rd,50,(h),,,,
114 St SB between 54A - 54 Ave,30,(h),,,,
114 St NB between 37 - 39 Ave,30,(f),,,,
36 Ave EB between Richfield Rd - 79 St,30,(f),,,,
EB 95 Ave between 170 - 167 St,50,(h),,,,
135 St NB between 102 - 103 Ave,30,(f),,,,
Lakewood Rd S EB between 81 - 79 St,30,(f),,,,
Yellowhead Tr EB east of Anthony Henday Dr,100,(a),,,,
36 Ave WB between 79 St - Richfield Rd,30,(f),,,,
NB Edwards Dr between 6 - 5 Ave SW,50,(h),,,,
WB 162 Ave btwn 115 - 375 M West of 115 St,30,(f),,,,
WB 11A Ave btwn 56 - 60 St,30,(f),,,,
WB 95 Ave between 167 - 170 St,50,(b),,,,
NB 106 St between 45 - 47 Ave,30,(f),,,,
78 Ave EB between Patricia Dr - 162 St,30,(f),,,,
NB 62 St btwn 144 - 145 Ave,30,(f),,,,
Fort Rd NB between 71 - 68 St,50,(h),,,,
EB 38 Ave btwn Grand Meadow Cres - W of 55 St,30,(f),,,,
EB 63 Ave Btwn 127 - 124 St,30,(f),,,,
