Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location
2725,EB 111 Ave between 116 - 113 St,60,(b),53.55882471,-113.51855732,"(53.558824708121165, -113.51855732079618)"
7175,NB 189 St between 87 - 93 Ave,50,(h),53.52489602,-113.64908690,"(53.52489601550884, -113.64908689743272)"
7176,SB 189 St between 95 - 91 Ave,50,(h),53.52806650,-113.64860256,"(53.52806650024237, -113.64860255678236)"
2615,NB 113A St between 134 - 136 Ave,50,(h),53.59665638,-113.51656063,"(53.59665638169049, -113.51656063070774)"
2558,SB 156 St between 94 - 92 Ave,50,"(b), (c)",53.52837963,-113.59032512,"(53.52837963329957, -113.5903251192683)"
4162,EB Millwoods Rd S Btwn 80-74 St,30,(f),53.44555901,-113.44961739,"(53.44555901499419, -113.44961738662494)"
2473,EB 132 Ave between Delwood Rd - 79 St,50,"(a), (h)",53.59223322,-113.46280031,"(53.59223321810083, -113.46280030604021)"
4070,SB Mill Woods Rd S of Lakewood  Rd N - 28 Ave,30,(f),53.45993511,-113.44814155,"(53.45993510577032, -113.44814155060342)"
2721,NB 101 St between 107A - 108 Ave,50,(h),53.55228268,-113.49371677,"(53.552282684355454, -113.49371676559429)"
7085,NB Gateway Blvd - South of Anthony Henday Dr.,90,"(a), (b), (c)",53.43486002,-113.49002456,"(53.43486002152614, -113.49002455995429)"
2449,EB Sask. Drive between 107 - 105 St,50,(h),53.52312546,-113.50337801,"(53.523125459060815, -113.50337800771118)"
4282,EB 57 Ave btwn 175 St - W Entrance of Lessard Dr,30,(f),53.49294098,-113.62387896,"(53.492940980638295, -113.62387896079689)"
4079,NB 145 St btwn 88 - 89A Ave,30,(f),53.52125471,-113.57027852,"(53.52125470772609, -113.57027852051017)"
4069,NB Mill Woods Rd btwn 28 Ave - S of Lakewood Rd N,30,(f),53.45993511,-113.44814155,"(53.45993510577032, -113.44814155060342)"
4249,WB 63 Ave Btwn 124 - 127 St,30,(f),53.50023363,-113.54575183,"(53.500233626962164, -113.54575182960792)"
4163,WB Millwoods Rd S E of 74 - 80 St,30,(f),53.44555901,-113.44961739,"(53.44555901499419, -113.44961738662494)"
